,0
0,Journal_Impact Factor
1,Last_Year_Journal_Citations
2,CiteScore
3,Years_since_publication
4,14_abst
5,accur_abst
6,achiev develop_abst
7,acid protein_abst
8,acids particular_abst
9,activ activ_abst
10,adsorpt_abst
11,adsorpt analysis_abst
12,advanc chemistri_abst
13,air determin_abst
14,aldehyd_abst
15,alkyn_abst
16,amin_abst
17,amino_abst
18,amino acid_abst
19,ammonia_abst
20,analysi organ_abst
21,analysis especi_abst
22,applic chemistry_abst
23,art organ_abst
24,atom molecul_abst
25,bas chemistry_abst
26,base sequenc_abst
27,batteries_abst
28,bear_abst
29,becom fundament_abst
30,biolog activ_abst
31,bond applic_abst
32,boran_abst
33,boron phosphorus_abst
34,carbenium_abst
35,carbohydrazon_abst
36,carbon 14_abst
37,catalyt activ_abst
38,catalyz cross_abst
39,cell fre_abst
40,chain reaction_abst
41,channel cell_abst
42,chemic bond_abst
43,chemistri chemic_abst
44,chemistry especi_abst
45,colloid_abst
46,colloid chemistry_abst
47,complex chemic_abst
48,compound presenc_abst
49,comput method_abst
50,concept conform_abst
51,conduct polymers_abst
52,contain compounds_abst
53,contribut develop_abst
54,coupl_abst
55,coupl organ_abst
56,cours chemic_abst
57,cross coupl_abst
58,demonstr heterogen_abst
59,design synthesi_abst
60,determin atom_abst
61,develop asymmetr_abst
62,diffract ray_abst
63,dimension structur_abst
64,direct evolut_abst
65,discoveri cell_abst
66,discovery mean_abst
67,dispers_abst
68,dispers systems_abst
69,display peptid_abst
70,dithian_abst
71,dna bas_abst
72,dynam_abst
73,dynam chemic_abst
74,effect disturb_abst
75,electrolyt_abst
76,electrolyt theori_abst
77,electron microscopi_abst
78,electron structur_abst
79,electron transfer_abst
80,electrophoresi_abst
81,element air_abst
82,elucid_abst
83,energi transfer_abst
84,enol_abst
85,equilibrium mean_abst
86,especi concern_abst
87,ester_abst
88,eukaryot_abst
89,evolut enzymes_abst
90,extrem_abst
91,extrem fast_abst
92,fast chemic_abst
93,field chemic_abst
94,fluoresc microscopy_abst
95,fluorine_abst
96,formaldehyd_abst
97,format decomposit_abst
98,free_abst
99,free radicals_abst
100,funct theory_abst
101,function ribosome_abst
102,fundament contribut_abst
103,genom editing_abst
104,govern_abst
105,great advanc_abst
106,heterogen natur_abst
107,high polymers_abst
108,holmium_abst
109,hydrazon_abst
110,hydrogen organ_abst
111,imid_abst
112,import biochem_abst
113,inorgan chemistry_abst
114,interact high_abst
115,investig carbohydr_abst
116,ion batteries_abst
117,ion channels_abst
118,irrevers_abst
119,isol element_abst
120,larg number_abst
121,law chemic_abst
122,light_abst
123,light earlier_abst
124,lithium ion_abst
125,low_abst
126,low temperatures_abst
127,magnet reson_abst
128,malon_abst
129,mass_abst
130,mass spectrometr_abst
131,mean_abst
132,mean mass_abst
133,mechan chemic_abst
134,mechanist studi_abst
135,medi protein_abst
136,mendelevium_abst
137,metal complexes_abst
138,method analysis_abst
139,methyl_abst
140,microscopi_abst
141,microscopi high_abst
142,model_abst
143,model complex_abst
144,molecul molecular_abst
145,molecular basi_abst
146,molecules particular_abst
147,moment_abst
148,natur chemic_abst
149,new field_abst
150,nitroso_abst
151,nmr spectroscopy_abst
152,non equilibrium_abst
153,nuclear magnet_abst
154,nuclei_abst
155,nucleic acid_abst
156,nucleic acids_abst
157,nucleotid_abst
158,number chemic_abst
159,open new_abst
160,orbit method_abst
161,organ chemistri_abst
162,organ chemistry_abst
163,origin natur_abst
164,oxid_abst
165,oxid reactions_abst
166,oxiran_abst
167,ozone_abst
168,palladium catalyz_abst
169,particular concern_abst
170,period_abst
171,peroxid_abst
172,phosphorus contain_abst
173,physic chemistri_abst
174,pigments_abst
175,praseodymium_abst
176,prepar enzym_abst
177,principl_abst
178,problem chemic_abst
179,process solid_abst
180,product biolog_abst
181,progress organ_abst
182,properti rna_abst
183,protein complexes_abst
184,proteins especi_abst
185,pure form_abst
186,quantum chemistry_abst
187,rate reaction_abst
188,ray electron_abst
189,reaction chemic_abst
190,reactions effect_abst
191,recent year_abst
192,receptors_abst
193,relat substances_abst
194,render_abst
195,render advanc_abst
196,research carbon_abst
197,reson nmr_abst
198,respectively import_abst
199,rna_abst
200,role biosynthesi_abst
201,science_abst
202,selenium_abst
203,sequenc biolog_abst
204,serum proteins_abst
205,short puls_abst
206,silver_abst
207,silyl_abst
208,sinc becom_abst
209,site direct_abst
210,soft_abst
211,solid_abst
212,solid matrix_abst
213,solut method_abst
214,solutions_abst
215,specif interact_abst
216,spectroscopi determin_abst
217,state_abst
218,state chemic_abst
219,structur analys_abst
220,structure specif_abst
221,studi_abst
222,studi biochemistri_abst
223,substanc extrem_abst
224,sulfin_abst
225,sulphon_abst
226,surfac chemistry_abst
227,surfaces_abst
228,syntheses_abst
229,synthesi adenosin_abst
230,tantalum_abst
231,techniqu structur_abst
232,technolog high_abst
233,terpenes_abst
234,theori dissip_abst
235,thermodynamics_abst
236,thiosulfin_abst
237,transfer formul_abst
238,transit state_abst
239,transport enzyme_abst
240,triphosph_abst
241,understand biolog_abst
242,use boron_abst
243,veri short_abst
244,virus protein_abst
245,water channels_abst
246,weight larg_abst
247,work atmospher_abst
248,year great_abst
249,ylid_abst
250,zirconium_abst
251,accur determin_title
252,activ activ_title
253,advanc chemistri_title
254,amino_title
255,analysi organ_title
256,applic chemistry_title
257,atom molecul_title
258,bas chemistry_title
259,base sequenc_title
260,bond applic_title
261,boron phosphorus_title
262,carbenium_title
263,carbon 14_title
264,catalyt activ_title
265,catalyz cross_title
266,cell fre_title
267,chain reaction_title
268,chemic bond_title
269,chemistri chemic_title
270,colloid solut_title
271,complex chemic_title
272,conduct polymers_title
273,coupl_title
274,coupl organ_title
275,cryo_title
276,crystal structures_title
277,demonstr heterogen_title
278,design synthesi_title
279,determin atom_title
280,develop chemic_title
281,dimension structur_title
282,direct evolut_title
283,discoveri cell_title
284,display_title
285,dithian_title
286,dna bas_title
287,electr_title
288,electron_title
289,electron microscopi_title
290,electron transfer_title
291,energi transfer_title
292,erbium_title
293,extrem fast_title
294,field chemistri_title
295,fluoresc microscopy_title
296,fluorine_title
297,free_title
298,free radicals_title
299,govern_title
300,high pressur_title
301,hydrogen organ_title
302,investig fundament_title
303,ion batteries_title
304,light_title
305,linkag_title
306,lithium ion_title
307,low_title
308,macromolecules_title
309,magnet reson_title
310,mechan chemic_title
311,medi protein_title
312,metal complexes_title
313,method determin_title
314,model complex_title
315,nitroso_title
316,nmr spectroscopy_title
317,open new_title
318,organ chemistri_title
319,oxid reactions_title
320,ozone_title
321,palladium catalyz_title
322,perform_title
323,period_title
324,phosphorus contain_title
325,praseodymium_title
326,principl_title
327,product biolog_title
328,progress organ_title
329,protein complexes_title
330,quantum chemistry_title
331,reaction pcr_title
332,receptors_title
333,research discoveri_title
334,silyl_title
335,soft_title
336,solutions_title
337,spectroscopi determin_title
338,structur analys_title
339,studi biochemistri_title
340,sulfin_title
341,super_title
342,synthesi ammonia_title
343,thermodynamics_title
344,thiosulfin_title
345,transfer reaction_title
346,transit state_title
347,triphosph_title
348,use boron_title
349,virus protein_title
350,zirconium_title
